a,e,i,om,w,ma,ad,per,id,full_name,pdes,name,epoch
1.077926381266863,.8269607943104155,22.8278631002327,88.02444907753281,31.35823187057106,231.0896393883242,1.969329237727459,408.7728833324858,a0001566,"  1566 Icarus (1949 MA)",1566,Icarus,2457000.5
1.245573498024285,.3354309084646737,13.33763547077355,337.2193491329734,276.8688551951477,256.8261349444915,1.663377348026092,507.7529621390976,a0001620,"  1620 Geographos (1951 RA)",1620,Geographos,2457000.5
1.470201854507636,.559958468652979,6.352978535582435,35.74196318797681,285.8426204058085,103.3158341733151,2.293453833568502,651.124259025482,a0001862,"  1862 Apollo (1932 HA)",1862,Apollo,2455120.5
1.77591539895727,.6502163333090692,39.82866544226904,356.9202418503228,267.8030311849964,200.0578378472025,2.930644597934379,864.4339923145475,a0001981,"  1981 Midas (1973 EA)",1981,Midas,2457000.5
1.87460149464522,.7637354338862373,1.33087709975224,349.84885291236,43.24193878227729,288.0204383871591,3.306301080521876,937.4796847472462,a0002101,"  2101 Adonis (1936 CA)",2101,Adonis,2457000.5
1.290060258801541,.2991000058170806,64.0063077514732,94.37210736153592,61.5509387191228,176.7184269557513,1.675917289713466,535.1966938252648,a0002102,"  2102 Tantalus (1975 YA)",2102,Tantalus,2457000.5
1.599622026216945,.5030568187370166,23.05992315714791,191.2237355517104,290.8668491988352,248.5656023844951,2.404322793907303,738.9660567936533,a0002135,"  2135 Aristaeus (1977 HA)",2135,Aristaeus,2457000.5
2.171765791714797,.7127982735109907,2.523614443737614,74.99676103035445,98.21244615213428,308.3444608263047,3.719796698519334,1169.009146176694,a0002201,"  2201 Oljato (1947 XC)",2201,Oljato,2457000.5
.8438292455376517,.4498841655895494,5.854591233229053,211.5421370750162,39.92629416655726,42.10443294792183,1.223454661566417,283.1263476642372,a0002340,"  2340 Hathor (1976 UA)",2340,Hathor,2453228.5
1.768293076124635,.4227883797185601,22.162628466419,336.1218188891789,27.70418514027394,292.5171339197501,2.515906840646918,858.8746735966764,a0003122,"  3122 Florence (1981 ET3)",3122,Florence,2457000.5
1.271171407909807,.8898360018634667,22.23995084156189,265.2652193290772,322.1437269155684,293.761054233791,2.402305491207424,523.4854324565023,a0003200,"  3200 Phaethon (1983 TB)",3200,Phaethon,2457000.5
1.209804286436701,.3228103734359388,2.684201672642324,189.40514006,301.7578668736173,239.2063347115694,1.600341659925732,486.0389849890372,a0003361,"  3361 Orpheus (1982 HR)",3361,Orpheus,2457000.5
.9894994603631173,.4684888606573125,9.917198876028898,152.4532347829566,55.03558136390084,355.2242480499397,1.45306893516966,359.5189356962973,a0003362,"  3362 Khufu (1984 QA)",3362,Khufu,2457000.5
2.197748300640029,.5422319786652254,13.54793681798276,82.16316993483981,204.2029699796835,123.4153524150606,3.389437710304208,1190.050404371397,a0003671,"  3671 Dionysus (1984 KD)",3671,Dionysus,2457000.5
1.83483474681788,.4455898594364052,3.868007745276564,74.98092298998536,17.16830106174853,305.9690874184476,2.652418503741491,907.807697132703,a0003757,"  3757 Anagolay (1982 XB)",3757,Anagolay,2457000.5
2.641953387958522,.6238405876498906,2.782446142191677,270.366068033056,91.50329032167832,70.37491689654927,4.290111142046185,1568.505888568963,a0004015,"  4015 Wilson-Harrington (1979 VA)",4015,Wilson-Harrington,2457000.5
1.059572007156092,.4440010152184238,11.16849063517679,157.9637893657072,296.6098679515405,247.6643640150621,1.530023054030419,398.3768938532026,a0004034,"  4034 Vishnu (1986 PA)",4034,Vishnu,2457000.5
2.533899735306762,.6296101756201973,.4471200287566686,124.3647618253029,278.7510751311503,184.1319033839458,4.129268792657223,1473.270748460738,a0004179,"  4179 Toutatis (1989 AC)",4179,Toutatis,2457000.5
1.98220616417132,.6344144286021328,6.707521712707172,294.9334720868968,236.2735235311408,345.2200092836143,3.239746355185694,1019.346087660407,a0004183,"  4183 Cuno (1959 LM)",4183,Cuno,2457000.5
1.442395164166609,.5864933186636077,5.519890503428503,311.8567883856251,291.7738672037557,303.6953069501297,2.288350290823022,632.7393053641455,a0004450,"  4450 Pan (1987 SY)",4450,Pan,2457000.5
2.199204888624779,.6628446985726222,3.039665074231756,82.24899202203979,168.8914843912192,149.7330122447695,3.656936190124708,1191.233683843546,a0004486,"  4486 Mithra (1987 SB)",4486,Mithra,2457000.5
1.022458029677507,.357007667930095,4.919255454530932,180.2866240056563,255.298592684214,20.46624353357231,1.387483386409074,377.6301505822493,a0004581,"  4581 Asclepius (1989 FC)",4581,Asclepius,2457000.5
1.488644643047171,.3600956156600291,1.431990714893488,314.4583855757202,158.0119181229916,36.74733047730225,2.024699052284246,663.414539367272,a0004660,"  4660 Nereus (1982 DB)",4660,Nereus,2457000.5
1.06329846579985,.4831758779219762,8.886375314583967,325.5963169809532,121.3573923850026,327.6374077005201,1.577058635505783,400.4803462423118,a0004769,"  4769 Castalia (1989 PB)",4769,Castalia,2457000.5
1.621094052121431,.6576229052196295,24.39091449623995,77.75035813281158,77.72708532905982,6.246659756123723,2.687162632311788,753.8947958485031,a0004953,"  4953 (1990 MU)",4953,,2457000.5
1.635695505800225,.5000382868156886,7.407365029659209,10.78437476165185,105.7442936386672,277.8688673520992,2.453605884272691,764.1033742351456,a0005011,"  5011 Ptah (6743 P-L)",5011,Ptah,2457000.5
1.55162537261383,.4780953458109966,3.583435826081228,135.3378549927483,159.6364761116401,222.3373303827625,2.293450241702756,705.9577916713152,a0005189,"  5189 (1990 UQ)",5189,,2457000.5
